Student ID,Name,Class,Subject,Exam Category,Exam Date,Score,Attendance (%),Participation,Behavior Score,Final Grade,Participation_Numeric,Final Grade Letter,Performance Category,Pass_Fail,Risk_Level,Risk_Probability,Engagement_Score,Engagement_Group
202.0,Mehedi Hasan,10.0,Biology,Class Test,2025-01-01,53,93,medium,10,90.0,1,A,Excellent,Pass,Low Risk,0.2156293894014486,75.8,High
535.0,Nusrat Hossain,10.0,Computer,Final Exam,2025-01-02,48,60,low,7,68.0,0,C-,Below Average,Pass,Low Risk,0.22068652882264073,36.0,Low
960.0,Tanvir Alam,10.0,Physics,Final Exam,2025-01-03,66,64,medium,8,50.0,1,F,Poor,Fail,High Risk,0.7560452831482244,58.4,Medium
370.0,Tanvir Alam,10.0,Physics,Mid Exam,2025-01-04,37,65,high,10,50.0,2,F,Poor,Fail,Low Risk,0.0,79.0,High
206.0,Nusrat Hossain,10.0,Bangla,Final Exam,2025-01-05,57,60,medium,9,58.0,1,D-,Poor,Fail,Low Risk,0.2851678778849118,56.0,Medium
171.0,Ayesha Rahman,10.0,Computer,Mid Exam,2025-01-06,34,60,low,9,73.2,0,C+,Average,Pass,Low Risk,0.22068652882264073,36.0,Low
800.0,Sakib Khan,10.0,English,Class Test,2025-01-07,46,51,medium,5,68.0,1,C-,Below Average,Pass,Low Risk,0.04349999999999998,50.599999999999994,Medium
120.0,Tania Jahan,10.0,Computer,Final Exam,2025-01-08,65,99,high,8,68.0,2,C-,Below Average,Pass,Low Risk,0.0,99.4,Very High
714.0,Mehedi Hasan,10.0,English,Class Test,2025-01-09,48,61,medium,8,95.0,1,A+,Excellent,Pass,Low Risk,0.004865967365967339,56.6,Medium
221.0,Tania Jahan,10.0,Computer,Final Exam,2025-01-10,93,100,medium,6,50.0,1,F,Poor,Fail,Medium Risk,0.4591428571428571,80.0,High
566.0,Nusrat Hossain,10.0,UnkownSubject,Class Test,2025-01-11,40,75,medium,6,95.0,1,A+,Excellent,Pass,Low Risk,0.1250811133311136,65.0,High
314.0,Sakib Khan,10.0,Math,Final Exam,2025-01-12,83,72,low,10,95.0,0,A+,Excellent,Pass,Low Risk,0.0,43.199999999999996,Medium
430.0,Mehedi Hasan,10.0,Physics,Class Test,2025-01-13,74,67,medium,10,68.0,1,C-,Below Average,Pass,Medium Risk,0.5161599511599512,60.199999999999996,High
558.0,Nusrat Hossain,10.0,Computer,Class Test,2025-01-14,76,81,medium,6,68.8,1,C-,Below Average,Pass,Low Risk,0.35945050855577176,68.6,High
187.0,Ayesha Rahman,10.0,Bangla,Final Exam,2025-01-15,41,98,low,10,82.0,0,B,Good,Pass,Low Risk,0.11711652236652259,58.8,Medium
472.0,Tanvir Alam,10.0,Computer,Class Test,32-13-2025,50,87,high,7,78.0,2,B-,Average,Pass,Low Risk,0.22901962824756938,92.19999999999999,Very High
199.0,Tania Jahan,10.0,Biology,Class Test,2025-01-17,40,96,high,6,50.0,2,F,Poor,Fail,Low Risk,0.2292165473415474,97.6,Very High
971.0,Mim Akter,10.0,Physics,Class Test,2025-01-18,34,52,high,8,58.0,2,D-,Poor,Fail,Medium Risk,0.429952380952381,71.2,High
763.0,Mim Akter,10.0,Biology,Final Exam,2025-01-19,85,87,low,7,50.0,0,F,Poor,Fail,High Risk,0.7860079365079365,52.199999999999996,Medium
230.0,Sakib Khan,10.0,Physics,Final Exam,2025-01-20,49,52,high,10,90.0,2,A,Excellent,Pass,Medium Risk,0.429952380952381,71.2,High
761.0,Ayesha Rahman,10.0,Biology,Class Test,2025-01-21,70,79,medium,9,95.0,1,A+,Excellent,Pass,Low Risk,0.0,67.4,High
408.0,Tania Jahan,10.0,Computer,Class Test,2025-01-22,75,50,medium,5,82.0,1,B,Good,Pass,Low Risk,0.36729761904761904,50.0,Medium
869.0,Ayesha Rahman,10.0,Computer,Final Exam,2025-01-23,41,79,low,6,78.0,0,B-,Average,Pass,Low Risk,0.0,47.4,Medium
443.0,Tania Jahan,10.0,Math,Final Exam,2025-01-24,99,94,medium,9,95.0,1,A+,Excellent,Pass,Low Risk,0.22823809523809513,76.4,High
591.0,Sakib Khan,10.0,Bangla,Class Test,2025-01-25,46,81,high,10,95.0,2,A+,Excellent,Pass,Low Risk,0.011472527472527472,88.6,Very High
513.0,Sakib Khan,10.0,Biology,Class Test,2025-01-26,Eighty,77,low,8,82.0,0,B,Good,Pass,Low Risk,0.005079365079365239,46.199999999999996,Medium
905.0,Mim Akter,10.0,English,Class Test,2025-01-27,55,70,high,5,50.0,2,F,Poor,Fail,High Risk,1.0,82.0,Very High
485.0,Ayesha Rahman,10.0,Math,Mid Exam,2025-01-28,77,95,high,9,90.0,2,A,Excellent,Pass,Low Risk,0.202268763486256,97.0,Very High
291.0,Mehedi Hasan,10.0,Biology,Final Exam,2025-01-29,81,60,high,5,50.0,2,F,Poor,Fail,Low Risk,0.33532916367571486,76.0,High
376.0,Mim Akter,10.0,Biology,Mid Exam,2025-01-30,99,76,low,6,58.0,0,D-,Poor,Fail,Low Risk,0.14249314574314564,45.6,Medium
260.0,Ayesha Rahman,10.0,Math,Final Exam,2025-01-31,84,85,medium,Nine,78.0,1,B-,Average,Pass,Low Risk,0.31039285714285714,71.0,High
559.0,Mim Akter,10.0,Computer,Final Exam,2025-02-01,62,56,medium,8,82.0,1,B,Good,Pass,Low Risk,0.0,53.6,Medium
413.0,Mehedi Hasan,10.0,Biology,Final Exam,2025-02-02,91,71,high,10,95.0,2,A+,Excellent,Pass,Low Risk,0.010000000000000009,82.6,Very High
121.0,Tanvir Alam,10.0,Computer,Final Exam,2025-02-03,52,59,low,5,83.3,0,B+,Good,Pass,Low Risk,0.10713438359026639,35.4,Low
352.0,Tanvir Alam,10.0,Math,Final Exam,2025-02-04,44,88,low,9,50.0,0,F,Poor,Fail,Medium Risk,0.525686507936508,52.8,Medium
847.0,Tanvir Alam,10.0,Computer,Final Exam,2025-02-05,56,60,medium,6,75.3,1,C+,Average,Pass,Low Risk,0.2851678778849118,56.0,Medium
956.0,Tanvir Alam,10.0,Physics,Final Exam,2025-02-06,93,64,medium,6,68.0,1,C-,Below Average,Pass,High Risk,0.7560452831482244,58.4,Medium
660.0,Nusrat Hossain,10.0,English,Mid Exam,2025-02-07,80,53,low,10,58.0,0,D-,Poor,Fail,Low Risk,0.3354642857142859,31.799999999999997,Low
574.0,Tania Jahan,10.0,Biology,Class Test,2025-02-08,82,81,high,9,82.0,2,B,Good,Pass,Low Risk,0.011472527472527472,88.6,Very High
158.0,Nusrat Hossain,10.0,Bangla,Class Test,2025-02-09,80,60,medium,9,50.0,1,F,Poor,Fail,Low Risk,0.2851678778849118,56.0,Medium
610.0,Nusrat Hossain,10.0,English,Mid Exam,2025-02-10,76,55,high,5,95.0,2,A+,Excellent,Pass,Low Risk,0.2985634920634921,73.0,High
781.0,Nusrat Hossain,10.0,Computer,Mid Exam,2025-02-11,33,73,low,10,50.0,0,F,Poor,Fail,Low Risk,0.2918571428571429,43.8,Medium
575.0,Tanvir Alam,10.0,Biology,Mid Exam,2025-02-12,36,69,high,10,78.0,2,B-,Average,Pass,Low Risk,0.2419301254301256,81.4,Very High
799.0,Mehedi Hasan,10.0,Computer,Mid Exam,2025-02-13,64,86,medium,7,68.0,1,C-,Below Average,Pass,Low Risk,0.007857142857142896,71.6,High
882.0,Sakib Khan,10.0,Physics,Final Exam,2025-02-14,77,60,low,10,78.0,0,B-,Average,Pass,Low Risk,0.22068652882264073,36.0,Low
289.0,Sakib Khan,10.0,Math,Class Test,2025-02-15,74,61,medium,6,58.0,1,D-,Poor,Fail,Low Risk,0.004865967365967339,56.6,Medium
786.0,Tania Jahan,10.0,Biology,Final Exam,2025-02-16,48,82,low,5,95.0,0,A+,Excellent,Pass,Low Risk,0.08050000000000002,49.199999999999996,Medium
662.0,Tanvir Alam,10.0,Physics,Class Test,2025-02-17,92,77,high,9,68.0,2,C-,Below Average,Pass,Low Risk,0.37589781052281035,86.19999999999999,Very High
975.0,Tanvir Alam,10.0,Physics,Class Test,2025-02-18,67,57,low,10,58.0,0,D-,Poor,Fail,Low Risk,0.19108766233766228,34.199999999999996,Low
666.0,Tanvir Alam,10.0,Biology,Mid Exam,2025-02-19,96,60,medium,5,75.3,1,C+,Average,Pass,Low Risk,0.2851678778849118,56.0,Medium
343.0,Mim Akter,10.0,Computer,Final Exam,2025-02-20,88,86,high,10,78.0,2,B-,Average,Pass,Low Risk,0.1090243367743372,91.6,Very High
931.0,Ayesha Rahman,10.0,Bangla,Mid Exam,2025-02-21,98,71,high,9,68.0,2,C-,Below Average,Pass,Low Risk,0.010000000000000009,82.6,Very High
604.0,Mim Akter,10.0,Physics,Final Exam,2025-02-22,42,55,high,8,95.0,2,A+,Excellent,Pass,Low Risk,0.2985634920634921,73.0,High
230.0,Ayesha Rahman,10.0,English,Class Test,2025-02-23,76,70,medium,9,78.0,1,B-,Average,Pass,Low Risk,0.3187095404595405,62.0,High
584.0,Tanvir Alam,10.0,Physics,Mid Exam,2025-02-24,90,81,medium,9,82.0,1,B,Good,Pass,Low Risk,0.35945050855577176,68.6,High
918.0,Tanvir Alam,10.0,Bangla,Mid Exam,2025-02-25,60,84,high,9,58.0,2,D-,Poor,Fail,Medium Risk,0.5282060015148249,90.4,Very High
746.0,Mim Akter,10.0,Computer,Class Test,2025-02-26,51,64,high,10,68.0,2,C-,Below Average,Pass,Low Risk,0.022499999999999964,78.4,High
120.0,Mim Akter,10.0,Computer,Class Test,2025-02-27,72,54,low,7,77.2,0,B-,Average,Pass,Low Risk,0.194017676767677,32.4,Low
940.0,Ayesha Rahman,10.0,English,Class Test,2025-02-28,96,95,low,9,90.0,0,A,Excellent,Pass,Low Risk,0.0,57.0,Medium
266.0,Sakib Khan,10.0,Physics,Mid Exam,2025-03-01,83,99,low,6,95.0,0,A+,Excellent,Pass,Low Risk,0.31485556110556123,59.4,Medium
373.0,Ayesha Rahman,10.0,Computer,Final Exam,2025-03-02,39,97,high,6,82.0,2,B,Good,Pass,Low Risk,0.2418120144819066,98.19999999999999,Very High
487.0,Mim Akter,10.0,Bangla,Mid Exam,2025-03-03,71,55,high,5,78.0,2,B-,Average,Pass,Low Risk,0.2985634920634921,73.0,High
700.0,Mehedi Hasan,10.0,Biology,Final Exam,2025-03-04,93,74,high,7,90.0,2,A,Excellent,Pass,Low Risk,0.020000000000000018,84.4,Very High
